Comment,Description,Designator,Footprint,LCSC Part#
"3221-10-0300-00","Conn Shrouded Header HDR 10 POS 1.27mm Solder ST SMD","J5","New footprint 1","-"
"150080BS75000","SMD LED blue 3.5 V 0805, 150080BS75000, Würth Elektronik","LED1, LED4, LED5","0805_A","-"
"505110-4091","MOLEX - 505110-4091 - FFC / FPC Board Connector, 0.5 mm, 40 Contacts, Receptacle, Easy-On 505110 Series, Surface Mount","CN2","505110-4091-Footprint-1","-"
"865080545012","Cap Aluminum Lytic 100uF 35V 20% (6.3 X 7.7mm) SMD 300mA 2000h 105C T/R","C19, C20","CAPAE7966X77N","-"
"BAS70_R1_00001","Diode Schottky 70 V 200mA Surface Mount SOT-23","D3, D4, D5","SOT95P245X110-3N","-"
"CL21B105KBFNNNG","SAMSUNG ELECTRO-MECHANICS - CL21B105KBFNNNG - MLCC CAPACITORS","C3, C6, C15, C16, C30, C32","CAP0805","-"
"MBR12100LPS-TP","Diode Schottky 100V 12A TO277B","D1, D6","DFN445P552X120-3N","-"
"testpoit","2 mm singel sided testpoint","TP1, TP2, TP3","testpoit-Footprint-1","-"
"TPH3R704PC,LQ","MOSFET N-Channel Enhancement Mode 40V 8-Pin SOP","Q6","TPH3R704PC,LQ-Footprint-1","-"
"TSB711AIYLT","Op Amp Single Precision Amplifier R-R I/O ±18V/36V Automotive 5-Pin SOT-23 T/R","U4, U5, U6","DBV0005A_N","-"
"USB4110-GF-A","Conn Usb 2.0 Type-c R/a SMT","J1","FP-USB4110-GF-A-MFG","-"
